Auditory Perceptual Disorders,"Auditory processing disorder, also known as central auditory processing disorder, is an umbrella term for a variety of disorders that affect the way the brain processes auditory information."
"Syncope, Vasovagal","Syncope (medicine) A loss of consciousness and muscle strength characterized by a fast onset, short duration, and."
Sensation Disorders,Sensation is the fiction-writing mode for portraying a character's perception of the senses.
Cough,"A cough is a sudden and often repetitively occurring, protective reflex, which helps to clear the large breathing passages from fluids, irritants, foreign particles and microbes."
Albuminuria,Albuminuria is a pathological condition wherein the protein albumin is abnormally present in the urine.
"Cardiac Output, High","Cardiac output, is a term used in cardiac physiology that describes the volume of blood being pumped by the heart, in particular by the left or right ventricle, per unit time."
Alien Hand Syndrome,Alien hand syndrome or Dr.
Neuralgia,"Neuralgia is pain in the distribution of a nerve or nerves, as in intercostal neuralgia, trigeminal neuralgia, and glossopharyngeal neuralgia."
Pelvic Pain,Pelvic pain is pain in the area of the pelvis.
Muscle Rigidity,.
Decerebrate State,.
"Ophthalmoplegia, Chronic Progressive External",Ophthalmoparesis or ophthalmoplegia refers to weakness or paralysis of one or more extraocular muscles which are responsible for eye movements.
Usher Syndromes,"Usher syndrome, also known as Hallgren syndrome, Usher-Hallgren syndrome, retinitis pigmentosa-dysacusis syndrome, or dystrophia retinae dysacusis syndrome, is a rare genetic disorder caused by a mutation in any one of at least 11 genes resulting in a combination of hearing loss and visual impairment."
"Urinary Bladder, Overactive",The urinary bladder is a hollow muscular organ in humans and some other animals that collects and stores urine from the kidneys before disposal by urination.
Presbycusis,"Presbycusis, or age-related hearing loss, is the cumulative effect of aging on hearing."
Cafe-au-Lait Spots,.
Fetal Hypoxia,Intrauterine hypoxia occurs when the fetus is deprived of an adequate supply of oxygen.
Intermittent Claudication,"Intermittent claudication, also known as vascular claudication, is a symptom that describes muscle pain on mild exertion, classically in the calf muscle, which occurs during exercise, such as walking, and is relieved by a short period of rest."
Phantom Limb,Phantom limb The sensation that an amputated or missing limb is still attached.
Toothache,"Toothache, also known as dental pain, is pain in the teeth and/or their supporting structures, caused by dental diseases or pain referred to the teeth by non-dental diseases."
Gastroparesis,"Gastroparesis is a medical condition consisting of a paresis of the stomach, resulting in food remaining in the stomach for an abnormally long time."
Striae Distensae,"Stretch marks, also known as striae, are a form of scarring on the skin with an off-color hue."
Spasm,"A spasm is a sudden involuntary contraction of a muscle, a group of muscles, or a hollow organ such as the heart."
"Aphasia, Broca",Aphasia An inability to comprehend and formulate language because of damage to specific brain regions.
Tonic Pupil,Adie syndrome is a neurological disorder characterized by a tonically dilated pupil that reacts slowly to light but shows a more definite response to accommodation.
Flushing,"Flushing, Queens A neighborhood in the New York City borough of Queens in the United States."
Morning Sickness,"Morning sickness, also called nausea and vomiting of pregnancy, is a symptom of pregnancy that involves nausea or vomiting."
Paresthesia,"Paresthesia is an abnormal sensation such as tingling, tickling, pricking, numbness or burning of a person's skin with no apparent physical cause."
Learning Disorders,"Learning disability is a classification that includes several areas of functioning in which a person has difficulty learning in a typical manner, usually caused by an unknown factor or factors."
Speech Disorders,Speech disorders or speech impediments are a type of communication disorder where 'normal' speech is disrupted.
"Apraxia, Ideomotor","Apraxia is a motor disorder caused by damage to the brain in which the individual has difficulty with the motor planning to perform tasks or movements when asked, provided that the request or command is understood and he/she is willing to perform the task."
Voice Disorders,Bogart-Bacall syndrome - Bogart–Bacall syndrome is a voice disorder that is caused by abuse or overuse of the vocal cords.
Thinness,.
"Hearing Loss, Sensorineural","Hearing loss, also known as hearing impairment, is a partial or total inability to hear."
Muscle Cramp,"A cramp is a sudden, involuntary muscle contraction or over-shortening; while generally temporary and non-damaging, they can cause significant pain, and a paralysis-like immobility of the affected muscle."
Polyuria,Polyuria is excessive or an abnormally large production or passage of urine.
Aphonia,Aphonia is defined as the inability to produce voiced sound.
Eructation,.
"Urinary Incontinence, Stress","Urinary incontinence, also known as involuntary urination, is any uncontrolled leakage of urine."
"Purpura, Hyperglobulinemic",Purpura A condition of red or purple discolored spots on the skin that do not blanch on applying pressure.
Headache,Headache The symptom of pain anywhere in the region of the head or neck.
"Hearing Loss, Central","Hearing loss, also known as hearing impairment, is a partial or total inability to hear."
Muscle Hypertonia,.
Ecchymosis,An ecchymosis is a subcutaneous spot of bleeding with diameter larger than.
Angina Pectoris,"Angina, also known as angina pectoris, is chest pain or pressure, usually due to not enough blood flow to the heart muscle."
Tinnitus,Tinnitus is the hearing of sound when no external sound is present.
Torticollis,"Torticollis, also known as wry neck, is a dystonic condition defined by an abnormal, asymmetrical head or neck position, which may be due to a variety of causes."
Persistent Vegetative State,A persistent vegetative state is a disorder of consciousness in which patients with severe brain damage are in a state of partial arousal rather than true awareness.
Bulimia,"Bulimia nervosa, also known as simply bulimia, is an eating disorder characterized by binge eating followed by purging."
Hallucinations,Hallucination A perception in the absence of external stimulus that has qualities of real perception.
Stuttering,"Stuttering, also known as stammering, is a speech disorder in which the flow of speech is disrupted by involuntary repetitions and prolongations of sounds, syllables, words or phrases as well as involuntary silent pauses or blocks in which the person who stutters is unable to produce sounds."
Mouth Breathing,Mouth breathing is breathing through the mouth rather than the nose.
Hearing Loss,"Hearing loss, also known as hearing impairment, is a partial or total inability to hear."
Hiccup,Hiccup An involuntary contraction of the diaphragm that may repeat several times per minute.
Anorexia,"Anorexia nervosa An eating disorder characterized by a low weight, fear of gaining weight, a strong desire to be."
"Hearing Loss, Sudden","Hearing loss, also known as hearing impairment, is a partial or total inability to hear."
Respiratory Aspiration,.
Hemoglobinuria,"In medicine, hemoglobinuria or haemoglobinuria is a condition in which the oxygen transport protein hemoglobin is found in abnormally high concentrations in the urine."
"Amnesia, Anterograde","Amnesia A deficit in memory caused by brain damage, disease, or psychological trauma."
Weight Gain,Weight gain is an increase in body weight.
Facial Pain,"Orofacial pain is a general term covering any pain which is felt in the mouth, jaws and the face."
Hypoventilation,"In medicine, hypoventilation occurs when ventilation is inadequate to perform needed gas exchange."
Shoulder Pain,"Shoulder problems including pain, are one of the more common reasons for physician visits for musculoskeletal symptoms."
Memory Disorders,"Alcoholic Korsakoff syndrome - Alcoholic Korsakoff syndrome, Korsakoff syndrome is an amnestic disorder caused by thiamine deficiency associated with prolonged ingestion of alcohol."
Livedo Reticularis,Livedo reticularis is a common skin finding consisting of a mottled reticulated vascular pattern that appears as a lace-like purplish discoloration of the skin.
Mobility Limitation,.
Hemiplegia,"Hemiparesis, or unilateral paresis, is weakness of one entire side of the body."
Hearing Disorders,"Hearing loss, also known as hearing impairment, is a partial or total inability to hear."
Glossalgia,.
Eye Manifestations,.
Paralysis,Paralysis Paralysis is loss of muscle function for one or more muscles.
Quadriplegia,"Tetraplegia, also known as quadriplegia, is paralysis caused by illness or injury that results in the partial or total loss of use of all four limbs and torso; paraplegia is similar but does not affect the arms."
Miosis,Miosis is excessive constriction of the pupil.
Renal Colic,Renal colic is a type of abdominal pain commonly caused by kidney stones.
Acute Coronary Syndrome,Acute coronary syndrome is a syndrome due to decreased blood flow in the coronary arteries such that part of the heart muscle is unable to function properly or dies.
Labor Pain,.
"Hearing Loss, Functional","Hearing loss, also known as hearing impairment, is a partial or total inability to hear."
Eye Hemorrhage,.
Paraparesis,Paraplegia is an impairment in motor or sensory function of the lower extremities.
Gait Apraxia,"Bruns apraxia, or frontal ataxia is a gait apraxia found in patients with bilateral frontal lobe disorders."
"Vision, Low",Vision (Marvel Comics) The name of several fictional superheroes appearing in American comic books published by Marvel.
"Angina Pectoris, Variant","Angina, also known as angina pectoris, is chest pain or pressure, usually due to not enough blood flow to the heart muscle."
"Obesity, Morbid",Obesity is a medical condition in which excess body fat has accumulated to the extent that it may have a negative effect on health.
"Paraparesis, Spastic",Paraplegia is an impairment in motor or sensory function of the lower extremities.
Hemoptysis,"Hemoptysis is the coughing up of blood or blood-stained mucus from the bronchi, larynx, trachea, or lungs."
Psychomotor Agitation,Psychomotor agitation is a set of signs and symptoms that stem from mental tension and anxiety.
Pseudobulbar Palsy,Pseudobulbar palsy is a medical condition characterized by the inability to control facial movements and caused by a variety of neurological disorders.
Somatosensory Disorders,A somatosensory disorder is an impairment of the somatosensory system.
Oliguria,Oliguria or hypouresis is the low output of urine.
Anomia,"Anomie A ""condition in which society provides little moral guidance to individuals""."
"Purpura, Thrombocytopenic, Idiopathic",Purpura A condition of red or purple discolored spots on the skin that do not blanch on applying pressure.
Edema,"Edema, also spelled oedema or œdema, is an abnormal accumulation of fluid in the interstitium, located beneath the skin and in the cavities of the body, which can cause severe pain."
Slit Ventricle Syndrome,.
Flank Pain,"Abdominal pain, also known as a stomach ache, is a symptom associated with both non-serious and serious medical issues."
Necrolytic Migratory Erythema,"Necrolytic migratory erythema is a red, blistering rash that spreads across the skin."
Fetal Distress,"In medicine, the term fetal distress refers to the presence of signs in a pregnant woman—before or during childbirth—that suggest that the fetus may not be well."
"Pain, Postoperative","Pain A distressing feeling often caused by intense or damaging stimuli, such as stubbing a toe."
Neurobehavioral Manifestations,.
Emaciation,Emaciation is defined as extreme weight loss and unnatural thinness due to a loss of subcutaneous fat and muscle throughout the body.
Muscle Weakness,Muscle weakness or myasthenia is a lack of muscle strength.
Seizures,Epileptic seizure A brief episode of signs or symptoms due to abnormal excessive or synchronous neuronal activity.
"Neuralgia, Postherpetic","Neuralgia is pain in the distribution of a nerve or nerves, as in intercostal neuralgia, trigeminal neuralgia, and glossopharyngeal neuralgia."
Skin Manifestations,.
Urinary Incontinence,"Urinary incontinence, also known as involuntary urination, is any uncontrolled leakage of urine."
Tetany,"Tetany or tetany seizure is a medical sign consisting of the involuntary contraction of muscles, which may be caused by disease or other conditions that increase the action potential frequency of muscle cells or the nerves that innervate them."
Eye Pain,.
Apnea,Apnea or apnoea is suspension of breathing.
Asthenia,.
Hyperoxia,"Hyperoxia occurs when cells, tissues and organs are exposed to an excess supply of oxygen or higher than normal partial pressure of oxygen."
Illusions,"Illusion A distortion of the senses, revealing how the human brain normally organizes and interprets."
Syncope,"Syncope (medicine) A loss of consciousness and muscle strength characterized by a fast onset, short duration, and."
Cerebrospinal Fluid Otorrhea,.
Diarrhea,Diarrhea The condition of having at least three loose or liquid bowel movements each day.
Neck Pain,"Neck pain is a common problem, with two-thirds of the population having neck pain at some point in their lives."
Photophobia,Photophobia is a symptom of abnormal intolerance to visual perception of light.
"Purpura, Schoenlein-Henoch",Purpura A condition of red or purple discolored spots on the skin that do not blanch on applying pressure.
Hoarseness,.
Chorea,"Chorea An abnormal involuntary movement disorder, one of a group of neurological disorders called."
Olfaction Disorders,.
Hydrops Fetalis,"Hydrops fetalis is a condition in the fetus characterized by an accumulation of fluid, or edema, in at least two fetal compartments."
Cerebrospinal Fluid Rhinorrhea,CSF rhinorrhoea refers to the drainage of cerebrospinal fluid through the nose.
Myoclonus,"Myoclonus is a brief, involuntary of a muscle or a group of muscles."
Athetosis,"Athetosis is a symptom characterized by slow, involuntary, convoluted, writhing movements of the fingers, hands, toes, and feet and in some cases, arms, legs, neck and tongue."
"Purpura, Thrombocytopenic",Purpura A condition of red or purple discolored spots on the skin that do not blanch on applying pressure.
Deaf-Blind Disorders,.
Fever of Unknown Origin,"Fever of unknown origin, pyrexia of unknown origin or febris e causa ignota refers to a condition in which the patient has an elevated temperature but despite investigations by a physician no explanation has been found."
Gagging,.
Myokymia,"Myokymia, french, tic facial, is an involuntary, spontaneous, localised quivering of a few muscles, or bundles within a muscle, but which are insufficient to move a joint."
Psychophysiologic Disorders,"Psychosomatic medicine is an interdisciplinary medical field exploring the relationships among social, psychological, and behavioral factors on bodily processes and quality of life in humans and animals."
Myotonia,Myotonia is a symptom of a small handful of certain neuromuscular disorders characterized by delayed relaxation of the skeletal muscles after voluntary contraction or electrical stimulation.
Cerebellar Ataxia,Cerebellar ataxia is a form of ataxia originating in the cerebellum.
Reticulocytosis,"Reticulocytosis is a condition where there is an increase in reticulocytes, immature red blood cells."
"Amnesia, Retrograde","Amnesia A deficit in memory caused by brain damage, disease, or psychological trauma."
Pupil Disorders,.
Gait Ataxia,Gait abnormality is a deviation from normal walking.
Hyperphagia,Polyphagia or hyperphagia is excessive hunger or increased appetite.
Hypergammaglobulinemia,Hypergammaglobulinemia is a medical condition with elevated levels of gamma globulin.
Aphasia,Aphasia An inability to comprehend and formulate language because of damage to specific brain regions.
Muscular Atrophy,"Muscle atrophy is defined as a decrease in the mass of the muscle; it can be a partial or complete wasting away of muscle, and is most commonly experienced when persons suffer temporary disabling circumstances such as being restricted in movement and/or confined to bed as when hospitalized."
Mental Retardation,"Intellectual disability, also known as general learning disability, and mental retardation, is a generalized neurodevelopmental disorder characterized by significantly impaired intellectual and adaptive functioning."
Oral Hemorrhage,.
Coma,Coma A state of unconsciousness in which a person cannot be awakened; fails to respond normally to.
Blindness,"Blindness A decreased ability to see to a degree that causes problems not fixable by usual means, such."
"Blindness, Cortical","Blindness A decreased ability to see to a degree that causes problems not fixable by usual means, such."
Hyperacusis,Hyperacusis is a debilitating hearing disorder characterized by an increased sensitivity to certain frequencies and volume ranges of sound.
Trismus,"Trismus, also called lockjaw, is reduced opening of the jaws."
Birth Weight,Birth weight is the body weight of a baby at its birth.
Space Motion Sickness,Space adaptation syndrome or space sickness is a condition experienced by around half of space travelers during adaptation to weightlessness.
Consciousness Disorders,.
Language Development Disorders,.
Sleep Deprivation,Sleep deprivation is the condition of not having enough sleep; it can be either chronic or acute.
Infantile Apparent Life-Threatening Event,.
Piriformis Muscle Syndrome,.
Fetal Weight,Birth weight is the body weight of a baby at its birth.
Hypocapnia,"Hypocapnia or hypocapnea, also known as hypocarbia, sometimes incorrectly called acapnia, is a state of reduced carbon dioxide in the blood."
Ophthalmoplegia,Ophthalmoparesis or ophthalmoplegia refers to weakness or paralysis of one or more extraocular muscles which are responsible for eye movements.
Purpura,Purpura A condition of red or purple discolored spots on the skin that do not blanch on applying pressure.
Korsakoff Syndrome,Korsakoff's syndrome is an amnestic disorder caused by thiamine deficiency usually associated with prolonged ingestion of alcohol.
"Aphasia, Conduction",Aphasia An inability to comprehend and formulate language because of damage to specific brain regions.
"Abdomen, Acute","The abdomen constitutes the part of the body between the thorax and pelvis, in humans and in other vertebrates."
Delirium,Delirium An organically caused decline from a previously baseline level of mental function.
Dizziness,Dizziness is an impairment in spatial perception and stability.
Fasciculation,"A fasciculation, or muscle twitch, is a small, local, involuntary muscle contraction and relaxation which may be visible under the skin."
Urinoma,"A urinoma, also pararenal pseudocyst, is an encapsulated collection of extravasated urine and typically found in the area adjacent to the kidneys or to extend into the retroperitoneum."
Hypothermia,Hypothermia is reduced body temperature that happens when a body dissipates more heat than it absorbs.
Metatarsalgia,"Metatarsalgia, literally metatarsal pain and colloquially known as a stone bruise, is any painful foot condition affecting the metatarsal region of the foot."
Amblyopia,"Amblyopia, also called lazy eye, is a disorder of sight due to the eye and brain not working well together."
Prostatism,.
"Cardiac Output, Low","Cardiac output, is a term used in cardiac physiology that describes the volume of blood being pumped by the heart, in particular by the left or right ventricle, per unit time."
"Alexia, Pure","Pure alexia Pure alexia, also known as agnosic alexia or alexia without agraphia or pure word blindness, is."
Deafness,.
Heartburn,Heartburn A burning sensation in the central chest or upper central abdomen.
Halitosis,"Halitosis, Commonly known as bad breath, is a symptom in which a noticeably unpleasant odor is present on the breath."
Motion Sickness,Motion Sickness: Live Recordings is a live album by Bright Eyes.
Hemifacial Spasm,"Hemifacial spasm is a rare neuromuscular disease characterized by irregular, involuntary muscle contractions on one side of the face."
"Purpura, Thrombotic Thrombocytopenic",Purpura A condition of red or purple discolored spots on the skin that do not blanch on applying pressure.
Encopresis,"Encopresis, also known as paradoxical diarrhea, is voluntary or involuntary passage of feces in children who are four years or older and after an organic cause has been excluded."
Catatonia,Catatonia A state of neurogenic motor immobility and behavioral abnormality manifested by stupor.
Ataxia,Ataxia A neurological sign consisting of lack of voluntary coordination of muscle movements that.
Hypercalciuria,Hypercalciuria or hypercalcinuria is the condition of elevated calcium in the urine.
Perceptual Disorders,Sensory processing disorder]] is a condition that exists when multisensory integration is not adequately processed in order to provide appropriate responses to the demands of the environment.
Snoring,Snoring is the vibration of respiratory structures and the resulting sound due to obstructed air movement during breathing while sleeping.
"Pain, Intractable","Pain A distressing feeling often caused by intense or damaging stimuli, such as stubbing a toe."
Apraxias,"Apraxia is a motor disorder caused by damage to the brain in which the individual has difficulty with the motor planning to perform tasks or movements when asked, provided that the request or command is understood and he/she is willing to perform the task."
"Aphasia, Wernicke",Aphasia An inability to comprehend and formulate language because of damage to specific brain regions.
Taste Disorders,.
Articulation Disorders,.
Feminization,"Feminization (activity) Feminization or feminisation, also known as sissification, is used to describe the practice."
Dyslexia,"Dyslexia, also known as reading disorder, is characterized by trouble with reading despite normal intelligence."
Coprophagia,Coprophagia or coprophagy is the consumption of feces.
Sleep Disorders,.
Hot Flashes,Hot flashes are a form of flushing due to reduced levels of estradiol.
Aerophagy,"Aerophagia is a condition of excessive air swallowing, which goes to the stomach."
Paresis,"Paresis is a condition typified by a weakness of voluntary movement, or partial loss of voluntary movement or by impaired movement."
"Dyslexia, Acquired","Dyslexia, also known as reading disorder, is characterized by trouble with reading despite normal intelligence."
Dysphonia,.
"Pain, Referred","Pain A distressing feeling often caused by intense or damaging stimuli, such as stubbing a toe."
Dysmenorrhea,"Dysmenorrhea, also known as painful periods, or menstrual cramps, is pain during menstruation."
Sneezing,"A sneeze, or sternutation, is a semi-autonomous, convulsive expulsion of air from the lungs through the nose and mouth, usually caused by foreign particles irritating the nasal mucosa."
Mutism,"Muteness or mutism is an inability to speak, often caused by a speech disorder or surgery."
Proteinuria,Proteinuria is the presence of excess proteins in the urine.
Stupor,Stupor is the lack of critical mental function and a level of consciousness wherein a sufferer is almost entirely unresponsive and only responds to base stimuli such as pain.
Hirsutism,"Hirsutism is excessive body hair in men and women on parts of the body where hair is normally absent or minimal, such as on the chin or chest in particular, or the face or body in general."
Oral Manifestations,.
Body Weight,Human body weight refers to a person's mass or weight.
"Akathisia, Drug-Induced",Akathisia is a movement disorder characterized by a feeling of inner restlessness and inability to stay still.
Nocturia,"Nocturia, also called nycturia, is defined by the International Continence Society as ""the complaint that the individual has to wake at night one or more times for voiding."
Lethargy,"Lethargy is a state of tiredness, weariness, fatigue, or lack of energy."
Pallor,"Pallor is a pale color of the skin that can be caused by illness, emotional shock or stress, stimulant use, or anemia, and is the result of a reduced amount of oxyhaemoglobin and is visible in skin conjuctivae or mucous membrane."
Dyspepsia,.
"Hearing Loss, Noise-Induced","Hearing loss, also known as hearing impairment, is a partial or total inability to hear."
Facial Paralysis,Facial nerve paralysis is a common problem that involves the paralysis of any structures innervated by the facial nerve.
Tics,"Tic A sudden, repetitive, nonrhythmic motor movement or vocalization involving discrete muscle groups."
Gerstmann Syndrome,Gerstmann syndrome is a neuropsychiatric disorder that is characterized by a constellation of symptoms that suggests the presence of a lesion in a particular area of the brain.
Respiratory Sounds,"Respiratory sounds, breath sounds, or lung sounds refer to the specific sounds generated by the movement of air through the respiratory system."
Pain,"Pain A distressing feeling often caused by intense or damaging stimuli, such as stubbing a toe."
Confusion,Confusion The state of being bewildered or unclear in one's mind about something.
"Hearing Loss, Conductive","Hearing loss, also known as hearing impairment, is a partial or total inability to hear."
Meningism,"Meningism, also called meningismus is a set of symptoms caused by irritation of the meninges."
Flatulence,"Flatulence is defined in the medical literature as ""flatus expelled through the anus"" or the ""quality or state of being flatulent"", which is defined in turn as ""marked by or affected with gases generated in the intestine or stomach; likely to cause digestive flatulence""."
Paraplegia,Paraplegia is an impairment in motor or sensory function of the lower extremities.
Systolic Murmurs,Systolic heart murmurs are heart murmurs heard during systole.
Brown-Sequard Syndrome,"Brown-Séquard syndrome is caused by damage to one half of the spinal cord, resulting in paralysis and loss of proprioception on the same side as the injury or lesion, and loss of pain and temperature sensation on the opposite side as the lesion."
Hyperalgesia,"Hyperalgesia is an increased sensitivity to pain, which may be caused by damage to nociceptors or peripheral nerves."
Fatigue,Chronic fatigue syndrome A medical condition characterized by long-term fatigue and other symptoms that limit a person's.
Hypokinesia,Hypokinesia refers to decreased bodily movement.
"Urinary Bladder, Neurogenic",The urinary bladder is a hollow muscular organ in humans and some other animals that collects and stores urine from the kidneys before disposal by urination.
Arthralgia,"Arthralgia literally means joint pain; it is a symptom of injury, infection, illnesses or an allergic reaction to medication."
Hematemesis,Hematemesis or haematemesis is the vomiting of blood.
"Reflex, Abnormal",Reflex An involuntary and nearly instantaneous movement in response to a stimulus.
Language Disorders,Language disorders or language impairments are disorders that involve the processing of linguistic information.
Nausea,Nausea A sensation of unease and discomfort in the upper stomach with an involuntary urge to vomit.
"Aphasia, Primary Progressive",Aphasia An inability to comprehend and formulate language because of damage to specific brain regions.
Dyskinesias,"Dyskinesia refers to a category of movement disorders that are characterized by involuntary muscle movements, including movements similar to tics or chorea and diminished voluntary movements."
Postoperative Nausea and Vomiting,Postoperative nausea and vomiting is an unpleasant complication affecting about a third of the 10% of the population undergoing general anaesthesia each year.
Diplopia,"Diplopia, commonly known as double vision, is the simultaneous perception of two images of a single object that may be displaced horizontally, vertically, diagonally, or rotationally in relation to each other."
"Urinary Incontinence, Urge","Urinary incontinence, also known as involuntary urination, is any uncontrolled leakage of urine."
Heart Murmurs,Heart murmurs are heart sounds produced when blood flows across one of the heart valves that are loud enough to be heard with a stethoscope.
Respiratory Paralysis,"Respiratory failure results from inadequate gas exchange by the respiratory system, meaning that the arterial oxygen, carbon dioxide or both cannot be kept at normal levels."
"Hearing Loss, Bilateral","Hearing loss, also known as hearing impairment, is a partial or total inability to hear."
Fever,"Fever Fever, also known as pyrexia and febrile response, is defined as having a temperature above."
"Hearing Loss, High-Frequency","Hearing loss, also known as hearing impairment, is a partial or total inability to hear."
"Hearing Loss, Mixed Conductive-Sensorineural","Hearing loss, also known as hearing impairment, is a partial or total inability to hear."
Vision Disorders,A vision disorder is an impairment of the sense of vision.
Catalepsy,"Catalepsy is a nervous condition characterized by muscular rigidity and fixity of posture regardless of external stimuli, as well as decreased sensitivity to pain."
Scotoma,A scotoma is an area of partial alteration in the field of vision consisting of a partially diminished or entirely degenerated visual acuity that is surrounded by a field of normal – or relatively well-preserved – vision.
Horner Syndrome,Horner's syndrome is a combination of symptoms that arises when a group of nerves known as the sympathetic trunk is damaged.
Earache,"Ear pain, also known as earache or otalgia, is pain in the ear."
